machine,t/v,n,nb,p,q,time,gflops
cei1,WC00C2R2,89404,64,4,6,1145.93,4.1575e+02
cei1,WC00C2R2,89404,128,4,6,1034.55,4.6051e+02
cei1,WC00C2R2,89404,256,4,6,1070.91,4.4488e+02
cei1,WC00C2R2,89404,64,4,6,1154.18,4.1278e+02
cei1,WC00C2R2,89404,128,4,6,1033.47,4.6099e+02
cei1,WC00C2R2,89404,256,4,6,1072.27,4.4431e+02
cei1,WC00C2R2,89404,64,4,6,1099.25,4.3341e+02
cei1,WC00C2R2,89404,128,4,6,1032.76,4.6131e+02
cei1,WC00C2R2,89404,256,4,6,1069.44,4.4549e+02
cei1,WC00C2R2,89404,64,4,6,1095.21,4.3500e+02
cei1,WC00C2R2,89404,128,4,6,1030.35,4.6239e+02
cei1,WC00C2R2,89404,256,4,6,1070.97,4.4485e+02
cei1,WC00C2R2,89404,64,4,6,1091.59,4.3645e+02
cei1,WC00C2R2,89404,128,4,6,1029.63,4.6271e+02
cei1,WC00C2R2,89404,256,4,6,1071.48,4.4464e+02
cei1,WC00C2R2,89404,64,4,6,1092.07,4.3625e+02
cei1,WC00C2R2,89404,128,4,6,1029.42,4.6281e+02
cei1,WC00C2R2,89404,256,4,6,1071.40,4.4467e+02
cei1,WC00C2R2,89404,64,4,6,1091.32,4.3655e+02
cei1,WC00C2R2,89404,128,4,6,1028.98,4.6300e+02
cei1,WC00C2R2,89404,256,4,6,1067.59,4.4626e+02
cei1,WC00C2R2,89404,64,4,6,1092.37,4.3614e+02
cei1,WC00C2R2,89404,128,4,6,1026.97,4.6391e+02
cei1,WC00C2R2,89404,256,4,6,1068.29,4.4597e+02
cei1,WC00C2R2,89404,64,4,6,1092.57,4.3606e+02
cei1,WC00C2R2,89404,128,4,6,1025.98,4.6435e+02
cei1,WC00C2R2,89404,256,4,6,1067.65,4.4623e+02
cei1,WC00C2R2,89404,64,4,6,1091.12,4.3663e+02
cei1,WC00C2R2,89404,128,4,6,1026.26,4.6423e+02
cei1,WC00C2R2,89404,256,4,6,1066.19,4.4684e+02
cei4,WC00C2R2,89404,64,4,6,1294.76,3.6796e+02
cei4,WC00C2R2,89404,128,4,6,1045.68,4.5561e+02
cei4,WC00C2R2,89404,256,4,6,1073.95,4.4362e+02
cei4,WC00C2R2,89404,64,4,6,1279.41,3.7237e+02
cei4,WC00C2R2,89404,128,4,6,1042.74,4.5689e+02
cei4,WC00C2R2,89404,256,4,6,1073.94,4.4362e+02
cei4,WC00C2R2,89404,64,4,6,1279.92,3.7223e+02
cei4,WC00C2R2,89404,128,4,6,1045.43,4.5572e+02
cei4,WC00C2R2,89404,256,4,6,1075.59,4.4294e+02
cei4,WC00C2R2,89404,64,4,6,1290.35,3.6922e+02
cei4,WC00C2R2,89404,128,4,6,1046.91,4.5507e+02
cei4,WC00C2R2,89404,256,4,6,1075.64,4.4292e+02
cei4,WC00C2R2,89404,64,4,6,1289.38,3.6950e+02
cei4,WC00C2R2,89404,128,4,6,1044.59,4.5608e+02
cei4,WC00C2R2,89404,256,4,6,1074.72,4.4330e+02
cei4,WC00C2R2,89404,64,4,6,1288.57,3.6973e+02
cei4,WC00C2R2,89404,128,4,6,1046.25,4.5536e+02
cei4,WC00C2R2,89404,256,4,6,1075.19,4.4310e+02
cei4,WC00C2R2,89404,64,4,6,1278.81,3.7255e+02
cei4,WC00C2R2,89404,128,4,6,1044.88,4.5596e+02
cei4,WC00C2R2,89404,256,4,6,1075.66,4.4291e+02
cei4,WC00C2R2,89404,64,4,6,1283.52,3.7118e+02
cei4,WC00C2R2,89404,128,4,6,1045.40,4.5573e+02
cei4,WC00C2R2,89404,256,4,6,1074.20,4.4351e+02
cei4,WC00C2R2,89404,64,4,6,1280.30,3.7212e+02
cei4,WC00C2R2,89404,128,4,6,1046.53,4.5524e+02
cei4,WC00C2R2,89404,256,4,6,1074.64,4.4333e+02
cei4,WC00C2R2,89404,64,4,6,1271.47,3.7470e+02
cei4,WC00C2R2,89404,128,4,6,1044.62,4.5607e+02
cei4,WC00C2R2,89404,256,4,6,1074.47,4.4340e+02
draco1,WC00C2R2,73467,64,4,4,1130.12,2.3392e+02
draco1,WC00C2R2,73467,128,4,4,1100.23,2.4028e+02
draco1,WC00C2R2,73467,256,4,4,1152.02,2.2948e+02
draco1,WC00C2R2,73467,64,4,4,1128.67,2.3422e+02
draco1,WC00C2R2,73467,128,4,4,1097.86,2.4080e+02
draco1,WC00C2R2,73467,256,4,4,1146.44,2.3059e+02
draco1,WC00C2R2,73467,64,4,4,1128.65,2.3423e+02
draco1,WC00C2R2,73467,128,4,4,1098.31,2.4070e+02
draco1,WC00C2R2,73467,256,4,4,1146.74,2.3053e+02
draco1,WC00C2R2,73467,64,4,4,1131.73,2.3359e+02
draco1,WC00C2R2,73467,128,4,4,1099.99,2.4033e+02
draco1,WC00C2R2,73467,256,4,4,1151.63,2.2955e+02
draco1,WC00C2R2,73467,64,4,4,1127.94,2.3438e+02
draco1,WC00C2R2,73467,128,4,4,1097.92,2.4078e+02
draco1,WC00C2R2,73467,256,4,4,1158.57,2.2818e+02
draco1,WC00C2R2,73467,64,4,4,1128.79,2.3420e+02
draco1,WC00C2R2,73467,128,4,4,1098.01,2.4076e+02
draco1,WC00C2R2,73467,256,4,4,1170.17,2.2592e+02
draco1,WC00C2R2,73467,64,4,4,1130.75,2.3379e+02
draco1,WC00C2R2,73467,128,4,4,1099.24,2.4050e+02
draco1,WC00C2R2,73467,256,4,4,1152.39,2.2940e+02
draco1,WC00C2R2,73467,64,4,4,1128.00,2.3436e+02
draco1,WC00C2R2,73467,128,4,4,1098.04,2.4076e+02
draco1,WC00C2R2,73467,256,4,4,1150.62,2.2976e+02
draco1,WC00C2R2,73467,64,4,4,1129.10,2.3413e+02
draco1,WC00C2R2,73467,128,4,4,1098.46,2.4067e+02
draco1,WC00C2R2,73467,256,4,4,1153.66,2.2915e+02
draco1,WC00C2R2,73467,64,4,4,1128.45,2.3427e+02
draco1,WC00C2R2,73467,128,4,4,1099.17,2.4051e+02
draco1,WC00C2R2,73467,256,4,4,1165.70,2.2678e+02
draco2,WC00C2R2,73467,64,4,4,1281.37,2.0631e+02
draco2,WC00C2R2,73467,128,4,4,1255.33,2.1059e+02
draco2,WC00C2R2,73467,256,4,4,1319.98,2.0028e+02
draco2,WC00C2R2,73467,64,4,4,1277.74,2.0690e+02
draco2,WC00C2R2,73467,128,4,4,1254.20,2.1078e+02
draco2,WC00C2R2,73467,256,4,4,1317.54,2.0065e+02
draco2,WC00C2R2,73467,64,4,4,1278.00,2.0686e+02
draco2,WC00C2R2,73467,128,4,4,1254.16,2.1079e+02
draco2,WC00C2R2,73467,256,4,4,1320.69,2.0017e+02
draco2,WC00C2R2,73467,64,4,4,1278.23,2.0682e+02
draco2,WC00C2R2,73467,128,4,4,1254.09,2.1080e+02
draco2,WC00C2R2,73467,256,4,4,1317.95,2.0059e+02
