Container, 0, 0, 0, 0.289154, 0.289154, 0
Link, 0, MPI_LINK, 0.001109, 0.001109, 0.000000, PTP, rank-14, rank-14, 15_15_108_7
Link, 0, MPI_LINK, 0.001109, 0.001109, 0.000000, PTP, rank-4, rank-4, 5_5_108_11
Link, 0, MPI_LINK, 0.001109, 0.001109, 0.000000, PTP, rank-10, rank-10, 11_11_108_13
Link, 0, MPI_LINK, 0.001109, 0.001109, 0.000000, PTP, rank-2, rank-2, 3_3_108_15
Link, 0, MPI_LINK, 0.001109, 0.001109, 0.000000, PTP, rank-12, rank-12, 13_13_108_6
Link, 0, MPI_LINK, 0.001109, 0.001109, 0.000000, PTP, rank-6, rank-6, 7_7_108_19
Link, 0, MPI_LINK, 0.001109, 0.001111, 0.000002, PTP, rank-8, rank-8, 9_9_108_1
Link, 0, MPI_LINK, 0.001120, 0.001120, 0.000000, PTP, rank-0, rank-0, 1_1_108_23
Link, 0, MPI_LINK, 0.001341, 0.001341, 0.000000, PTP, rank-42, rank-42, 43_43_108_30
Link, 0, MPI_LINK, 0.001341, 0.001341, 0.000000, PTP, rank-26, rank-26, 27_27_108_32
Link, 0, MPI_LINK, 0.001341, 0.001341, 0.000000, PTP, rank-46, rank-46, 47_47_108_37
Link, 0, MPI_LINK, 0.001341, 0.001341, 0.000000, PTP, rank-34, rank-34, 35_35_108_41
Link, 0, MPI_LINK, 0.001341, 0.001341, 0.000000, PTP, rank-44, rank-44, 45_45_108_48
Link, 0, MPI_LINK, 0.001341, 0.001341, 0.000000, PTP, rank-20, rank-20, 21_21_108_50
Link, 0, MPI_LINK, 0.001341, 0.001341, 0.000000, PTP, rank-38, rank-38, 39_39_108_52
Link, 0, MPI_LINK, 0.001341, 0.001341, 0.000000, PTP, rank-40, rank-40, 41_41_108_54
Link, 0, MPI_LINK, 0.001341, 0.001341, 0.000000, PTP, rank-32, rank-32, 33_33_108_56
Link, 0, MPI_LINK, 0.001341, 0.001341, 0.000000, PTP, rank-36, rank-36, 37_37_108_59
Link, 0, MPI_LINK, 0.001341, 0.001341, 0.000000, PTP, rank-30, rank-30, 31_31_108_61
Link, 0, MPI_LINK, 0.001341, 0.001341, 0.000000, PTP, rank-22, rank-22, 23_23_108_45
Link, 0, MPI_LINK, 0.001342, 0.001342, 0.000000, PTP, rank-24, rank-24, 25_25_108_65
Link, 0, MPI_LINK, 0.001341, 0.001342, 0.000001, PTP, rank-28, rank-28, 29_29_108_43
Link, 0, MPI_LINK, 0.001342, 0.001342, 0.000000, PTP, rank-18, rank-18, 19_19_108_69
Link, 0, MPI_LINK, 0.001343, 0.001343, 0.000000, PTP, rank-16, rank-16, 17_17_108_71
Link, 0, MPI_LINK, 0.001462, 0.001462, 0.000000, PTP, rank-58, rank-58, 59_59_108_73
Link, 0, MPI_LINK, 0.001462, 0.001462, 0.000000, PTP, rank-62, rank-62, 63_63_108_82
Link, 0, MPI_LINK, 0.001462, 0.001462, 0.000000, PTP, rank-54, rank-54, 55_55_108_85
Link, 0, MPI_LINK, 0.001462, 0.001462, 0.000000, PTP, rank-50, rank-50, 51_51_108_87
Link, 0, MPI_LINK, 0.001462, 0.001462, 0.000000, PTP, rank-60, rank-60, 61_61_108_89
Link, 0, MPI_LINK, 0.001462, 0.001462, 0.000000, PTP, rank-56, rank-56, 57_57_108_91
Link, 0, MPI_LINK, 0.001462, 0.001462, 0.000000, PTP, rank-52, rank-52, 53_53_108_93
Link, 0, MPI_LINK, 0.001463, 0.001463, 0.000000, PTP, rank-48, rank-48, 49_49_108_95
Link, 0, MPI_LINK, 0.001837, 0.001589, -0.000248, PTP, rank-11, rank-14, 12_15_108_122
Link, 0, MPI_LINK, 0.001837, 0.001589, -0.000248, PTP, rank-3, rank-6, 4_7_108_106
